Language,Main message,Error message,Attachments,Language name in msa,Language name in eng,Alternative Spellings,,
msa,Hai! Terima kasih kerana mendaftar untuk menerima tip keibubapaan ini. Sila beritahu kami bahasa pilihan anda:,"Maaf, saya tidak faham maksud anda.","image:@(""https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/"" & fields.deployment & ""/resourceGroup/image/universal/you_deserve_a_star.jpg"")",Bahasa Melayu,Malay,Melayu,Melay,
eng,Hi! Thank you for signing up to receive these parenting tips. Please tell us which language you would like:,"Sorry, I don't understand what you mean.",,Bahasa Inggeris,English,Inggeris,eng,ing
